"","ecoregion","X","NS.Map.Value.code","system_name","SqKM_system_ecoregion","type","ELEMENT_GLOBAL_ID","ELCODE","ELSF_CD","BPS_area_system_sq_KM","percent_of_Total_Distribution","Level3.x","Level3.y"
"102","Columbia Mountains/Northern Rockies",101,7079,"Great_Basin_Xeric_Mixed_Sagebrush_Shrubland",3.6693,"Great Basin Xeric Mixed Sagebrush Shrubland",722898,"CES304.774",5256,62531.1171,1e-04,"6.2.3","6.2.3"
"103","Columbia Mountains/Northern Rockies",102,7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",1014.4926,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0.0036,"6.2.3","6.2.3"
"104","Columbia Mountains/Northern Rockies",106,7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",328.3497,"Inter Mountain Basins Montane Sagebrush Steppe",722887,"CES304.785",5455,85442.3397,0.0038,"6.2.3","6.2.3"
"105","Columbia Mountains/Northern Rockies",105,7081,"Inter_Mountain_Basins_Mixed_Salt_Desert_Scrub",0.0081,"Inter Mountain Basins Mixed Salt Desert Scrub",722888,"CES304.784",5258,96871.1967,0,"6.2.3","6.2.3"
"106","Columbia Mountains/Northern Rockies",104,7125,"Inter_Mountain_Basins_Big_Sagebrush_Steppe",874.9701,"Inter Mountain Basins Big Sagebrush Steppe",722894,"CES304.778",5454,181241.4852,0.0048,"6.2.3","6.2.3"
"107","Columbia Plateau",109,7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",18080.7633,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0.064,"10.1.2","10.1.2"
"108","Columbia Plateau",110,7081,"Inter_Mountain_Basins_Mixed_Salt_Desert_Scrub",17.0586,"Inter Mountain Basins Mixed Salt Desert Scrub",722888,"CES304.784",5258,96871.1967,2e-04,"10.1.2","10.1.2"
"109","Columbia Plateau",108,7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",1773.0009,"Inter Mountain Basins Montane Sagebrush Steppe",722887,"CES304.785",5455,85442.3397,0.0208,"10.1.2","10.1.2"
"110","Columbia Plateau",113,7017,"Columbia_Plateau_Western_Juniper_Woodland_and_Savanna",6.0345,"Columbia Plateau Western Juniper Woodland and Savanna",740155,"CES304.082",4204,7901.0883,8e-04,"10.1.2","10.1.2"
"111","Columbia Plateau",111,7079,"Great_Basin_Xeric_Mixed_Sagebrush_Shrubland",0.2025,"Great Basin Xeric Mixed Sagebrush Shrubland",722898,"CES304.774",5256,62531.1171,0,"10.1.2","10.1.2"
"112","Columbia Plateau",112,7125,"Inter_Mountain_Basins_Big_Sagebrush_Steppe",20320.146,"Inter Mountain Basins Big Sagebrush Steppe",722894,"CES304.778",5454,181241.4852,0.1121,"10.1.2","10.1.2"
