ELEMENT_GLOBAL_ID,ELCODE,ESLF_CD,INACTIVE_IND,STATUS,GLOBAL_NAME,OTHER_NAME,CLASSIF_RESP,STAKEHOLDERS,WEST_LEGEND_IND,EAST_LEGEND_IND,ESLF_CD,BPS_CD,EVT_CD,LAND_COVER,CULTIVATED,SPARSE_VEGETATION,UPLAND,WETLAND,SPATIAL_PATTERN,ESLF_Pixel_Ct_30m,ESLF_SqKm_Calc_30m
723229,CES203.257,9253,N,1,Atlantic Coastal Plain Indian River Lagoon Tidal Marsh,,Southeast,Southeast,N,N,9253,,,Herbaceous Wetland,N,N,N,Y,Large patch,65530,58.97
722787,CES203.893,9189,N,1,Atlantic Coastal Plain Northern Bog,,East,East,N,N,9189,,,Woody Wetland,N,N,N,Y,Small patch,,
723250,CES203.188,,Y,1,Atlantic Coastal Plain Northern Mixed Oak-Heath Forest,,East,"East, Southeast",,,,,,Forest and Woodland,N,N,Y,N,Large patch,,
722788,CES203.892,9274,N,1,Atlantic Coastal Plain Northern Salt Pond Marsh,,East,East,N,N,9274,,,Herbaceous Wetland,N,N,N,Y,Small patch,,
723246,CES203.214,,Y,1,Atlantic Coastal Plain Northern Sea-Level Fen,,East,"East, Southeast",,,,,,Woody Wetland,N,N,N,Y,Small patch,,
723219,CES203.267,9121,N,1,Atlantic Coastal Plain Peatland Pocosin and Canebrake,,Southeast,"East, Southeast",N,Y,9121,1452,2452,Woody Wetland,N,N,N,Y,Large patch,6850307,6165.27
723232,CES203.253,3187,N,1,Atlantic Coastal Plain Sandhill Seep,,Southeast,Southeast,N,Y,3187,1516,2516,Herbaceous Wetland,N,N,N,Y,Small patch,,
723236,CES203.249,9318,N,1,Atlantic Coastal Plain Small Blackwater River Floodplain Forest,,Southeast,"East, Southeast",N,N,9318,,,Woody Wetland,N,N,N,Y,Linear,10327262,9294.53
723235,CES203.250,9315,N,1,Atlantic Coastal Plain Small Brownwater River Floodplain Forest,,Southeast,"East, Southeast",N,N,9315,,,Woody Wetland,N,N,N,Y,Linear,5564260,5007.83
723233,CES203.252,9137,N,1,"Atlantic Coastal Plain Streamhead Seepage Swamp, Pocosin and Baygall",,Southeast,"East, Southeast",N,Y,9137,1468,2468,Woody Wetland,N,N,N,Y,Large patch,261985,235.78
723206,CES203.281,4250,N,1,Atlantic Coastal Plain Upland Longleaf Pine Woodland,,Southeast,"East, Southeast",N,Y,4250,1347,2347,Forest and Woodland,N,N,Y,N,Matrix,21351333,19216.19
722691,CES302.014,10598,N,1,Baja California del Norte Gulf Coast Ocotillo-Limberbush-Creosotebush Desert Scrub,,West,"Latin America, West",N,N,10598,,,Shrubland,N,N,Y,N,Matrix,,
722747,CES206.934,5250,N,1,Baja Semi-Desert Coastal Succulent Scrub,,West,"Latin America, West",Y,N,5250,1073,2073,Shrubland,N,N,Y,N,Large patch,,
722785,CES205.896,4261,N,1,Bastrop Lost Pines Forest and Woodland,,Southeast,Southeast,N,Y,4261,1358,2358,Forest and Woodland,N,N,Y,N,Large patch,161784,145.6
722790,CES202.888,7126,N,1,Bluegrass Savanna and Woodland,,Southeast,Southeast,N,Y,7126,1413,2413,Herbaceous,N,N,Y,N,Large patch,,
784941,CES103.633,9146,N,2,Boreal Acidic Peatland Systems,,East,"Canada, East, Midwest",N,Y,9146,1477,2477,Woody Wetland,N,N,N,Y,Large patch,,
820923,CES105.320,7184,N,1,Boreal Alpine Fescue Dwarf-Shrubland and Grassland,,West,"Canada, West",N,N,7184,,,Herbaceous,N,N,Y,N,Small patch,,
722824,CES105.850,4278,Y,1,Boreal Black Spruce Forest and Woodland,,West,"Canada, West",N,N,4278,,,Forest and Woodland,N,N,Y,N,Matrix,,
820936,CES103.335,9394,N,1,Boreal Black Spruce Swamp,,West,"Canada, West",N,N,9394,,,Woody Wetland,N,N,N,Y,Small patch,,
722805,CES103.870,9174,N,1,Boreal Blanket Bog,,West,"Canada, West",N,N,9174,,,Woody Wetland,N,N,N,Y,Large patch,,
722804,CES103.871,9175,N,1,Boreal Depressional Shrub Bog,,West,"Canada, West",N,N,9175,,,Woody Wetland,N,N,N,Y,Small patch,,
837888,CES103.499,4407,Y,1,Boreal Dry Jack Pine Woodland,,Midwest,"Canada, East, Midwest",N,N,4407,,4404,Forest and Woodland,N,N,Y,N,Large patch,,
